Product,Revenue,Revenue_MAN,Revenue_WOMAN,Items_sold,Items_sold_MAN,Items_sold_WOMAN,Number_of_fragrancies,Fragrancies_MAN,Fragrancies_WOMAN,Tital_items,Items_MAN,Items_WOMAN
"Obsession by Calvin Klein EDP Perfume for Women 33  34 oz New Tester",128501,0,128501,5587,0,5587,1,0,1,1,0,1
"PS by Paul Sebastian Cologne for Men 8  80 oz Brand New In Box",128284,128284,0,4934,4934,0,1,1,0,1,1,0
"Lagerfeld Classic by Lagerfeld 5 oz EDT Cologne for Men New In Box",126900,126900,0,5076,5076,0,1,1,0,1,1,0
"Curve Crush by Liz Claiborne 42 oz Cologne for Men Brand New Tester",125056,125056,0,7816,7816,0,1,1,0,1,1,0
"VANDERBILT by Gloria 34 oz 33 edt for Women Perfume  New Box Seal",123216,0,123216,10268,0,10268,1,0,1,1,0,1
"Versace Dylan Blue pour homme cologne for men EDT 67 oz 68 New in Box",120054,120054,0,1819,1819,0,1,1,0,1,1,0
"LEAU DISSEY by ISSEY MIYAKE  Cologne for Men 67 oz  NEW IN BOX",119124,119124,0,2206,2206,0,1,1,0,1,1,0
"Poeme by Lancome 34 oz 100 ml Leau de Parfum Spray for Women in Sealed Box",119110,0,119110,1385,0,1385,1,0,1,1,0,1
"Aventus by Creed, 33 oz Millesime EDP Spray for Men",118104,118104,0,456,456,0,1,1,0,1,1,0
"HERRERA for Men Carolina Herrera Cologne EDT 34 oz 33 New in Box",117360,117360,0,2934,2934,0,1,1,0,1,1,0
"RED by GIORGIO BEVERLY HILLS women edt spray Perfume 30 oz New",116595,0,116595,7773,0,7773,1,0,1,1,0,1
"Oscar by Oscar De La Renta EDT Perfume for Women 33  34 oz New In Box",114378,0,114378,3466,0,3466,1,0,1,1,0,1
"Coach by Coach 3  30 oz EDP Perfume for Women New In Box",113960,0,113960,3080,0,3080,1,0,1,1,0,1
"6 For 1995 MENM WOMENW  UNISEXU Body Oil Fragrances 10 ml Roll On Pure",113292,113292,0,18882,18882,0,1,1,0,1,1,0
"Guess Girl by Guess 34 oz EDT Perfume for Women New In Box",112560,0,112560,5628,0,5628,1,0,1,1,0,1
"Spicebomb Extreme by Viktor  Rolf 304 oz EDP Cologne for Men New In Box",111456,111456,0,1296,1296,0,1,1,0,1,1,0
"Fahrenheit by Christian Dior 34 oz EDT Cologne for Men New In Box",110627,110627,0,1243,1243,0,1,1,0,1,1,0
"Invictus by Paco Rabanne 34 oz EDT Cologne for Men Brand New Tester",110340,110340,0,2452,2452,0,1,1,0,1,1,0
"360 Red by Perry Ellis 67  68 oz EDT Cologne for Men New In Box",108120,108120,0,2703,2703,0,1,1,0,1,1,0
"Lacoste Eau De Lacoste Blanc L1212 Cologne for Men 59  6 oz New In Box",107730,107730,0,1995,1995,0,1,1,0,1,1,0
"Gucci Rush by Gucci EDT Perfume for Women 25 oz Brand New Tester",103232,0,103232,1613,0,1613,1,0,1,1,0,1
"PRINCESS by VERA WANG Perfume 33  34 oz EDT For Women NEW in BOX",103075,0,103075,4123,0,4123,1,0,1,1,0,1
"Aromatics Elixir by Clinique 34 oz Perfume Spray for Women New In Box",102880,0,102880,3215,0,3215,1,0,1,1,0,1
"Exclamation by Coty Perfume for Women Cologne Spray 17 oz New In Box",102634,0,102634,7331,0,7331,1,0,1,1,0,1
